pertanyaan,jawaban,kategori
"harga SODA?","Harga SODA: Rp.37.000","harga_minuman"
"harga FRAPPE?","Harga FRAPPE: Rp.37.000","harga_minuman"
"harga TEA?","Harga TEA: Rp.37.000","harga_minuman"

"jus ada menu apa aja?","Menu Jus yang tersedia yaitu: JUS APPLE, JUS GUAVA, JUS DRAGON FRUIT, JUS SOURSOP, JUS WATERMELON, JUS MELON, JUS PAPAYA, JUS DURIAN, JUS AVOCADO, JUS CUCUMBER, JUS TOMATO, JUS CARROT, JUS PINEAPPLE, JUS MANGGO, JUS KOPYOR, JUS STRAWBERRY, JUS BRENEBON, JUS ORANGE, JUS MIX (SAWI NANAS) dan JUS GANDARIA","menu"
"harga JUS APPLE?","Harga JUS APPLE: Rp.32.000","harga_jus"
"harga JUS GUAVA?","Harga JUS GUAVA: Rp.35.000","harga_jus"
"harga JUS DRAGON FRUIT?","Harga JUS DRAGON FRUIT: Rp.35.000","harga_jus"
"harga JUS SOURSOP?","Harga JUS SOURSOP: Rp.34.000","harga_jus"
"harga JUS WATERMELON?","Harga JUS WATERMELON: Rp.27.000","harga_jus"
"harga JUS MELON?","Harga JUS MELON: Rp.27.000","harga_jus"
"harga JUS PAPAYA?","Harga JUS PAPAYA: Rp.27.000","harga_jus"
"harga JUS DURIAN?","Harga JUS DURIAN: Rp.38.000","harga_jus"
"harga JUS AVOCADO?","Harga JUS AVOCADO: Rp.35.000","harga_jus"
"harga JUS CUCUMBER?","Harga JUS CUCUMBER: Rp.27.000","harga_jus"
"harga JUS TOMATO?","Harga JUS TOMATO: Rp.27.000","harga_jus"
"harga JUS CARROT?","Harga JUS CARROT: Rp.28.000","harga_jus"
"harga JUS PINEAPPLE?","Harga JUS PINEAPPLE: Rp.27.000","harga_jus"
"harga JUS MANGGO?","Harga JUS MANGGO: Rp.38.000","harga_jus"
"harga JUS KOPYOR?","Harga JUS KOPYOR: Rp.35.000","harga_jus"
"harga JUS STRAWBERRY?","Harga JUS STRAWBERRY: Rp.32.000","harga_jus"
"harga JUS BRENEBON?","Harga JUS BRENEBON: Rp.32.000","harga_jus"
"harga JUS ORANGE?","Harga JUS ORANGE: Rp.32.000","harga_jus"
"harga JUS MIX (SAWI NANAS)?","Harga JUS MIX (SAWI NANAS): Rp.38.000","harga_jus"
"harga JUS GANDARIA?","Harga JUS GANDARIA: Rp.34.000","harga_jus"

"es ada menu apa aja?","Menu Es yang tersedia yaitu: ES KACANG BRENEBON, ES TIGA RASA, ES KACANG TANAH, ES BUAH CAMPUR, ES ALPUKAT GARO, ES SODA GEMBIRA, ES FRUIT PUNCH, ES SELASIH RAMBUTANN + NATA DE COCO, ES COCA COLA SUSU, ES CAPUCHINO, ES KOPYOR, ES CENDOL, ES TELLER, ES GANDARIA, ES COKLAT DURIAN, ES TEH MANIS, ES TEH TAWAR dan ES LEMON TEH","menu"
"harga ES KACANG BRENEBON?","Harga ES KACANG BRENEBON: Rp.32.000","harga_es"
"harga ES TIGA RASA?","Harga ES TIGA RASA: Rp.37.000","harga_es"
"harga ES KACANG TANAH?","Harga ES KACANG TANAH: Rp.27.000","harga_es"
"harga ES BUAH CAMPUR?","Harga ES BUAH CAMPUR: Rp.35.000","harga_es"
"harga ES ALPUKAT GARO?","Harga ES ALPUKAT GARO: Rp.33.000","harga_es"
"harga ES SODA GEMBIRA?","Harga ES SODA GEMBIRA: Rp.27.000","harga_es"
"harga ES FRUIT PUNCH?","Harga ES FRUIT PUNCH: Rp.35.000","harga_es"
"harga ES SELASIH RAMBUTANN + NATA DE COCO?","Harga ES SELASIH RAMBUTANN + NATA DE COCO: Rp.35.000","harga_es"
"harga ES COCA COLA SUSU?","Harga ES COCA COLA SUSU: Rp.27.000","harga_es"
"harga ES CAPUCHINO?","Harga ES CAPUCHINO: Rp.27.000","harga_es"
"harga ES KOPYOR?","Harga ES KOPYOR: Rp.35.000","harga_es"
"harga ES CENDOL?","Harga ES CENDOL: Rp.29.000","harga_es"
"harga ES TELLER?","Harga ES TELLER: Rp.37.000","harga_es"
"harga ES GANDARIA?","Harga ES GANDARIA: Rp.34.000","harga_es"
"harga ES COKLAT DURIAN?","Harga ES COKLAT DURIAN: Rp.35.000","harga_es"
"harga ES TEH MANIS?","Harga ES TEH MANIS: Rp.20.000","harga_es"
"harga ES TEH TAWAR?","Harga ES TEH TAWAR: Rp.17.000","harga_es"
"harga ES LEMON TEH?","Harga ES LEMON TEH: Rp.27.000","harga_es"

"minuman lainnya ada menu apa aja?","Menu Minuman lainnya yang tersedia yaitu: CHINESE TEA, AIR GURAKA, MILO, KOPI HITAM, KOPI SUSU, KELAPA MUDA BATOK, KELAPA MUDA + LENGKENG, BUAH SEGAR dan MINERAL BOTTLE.","menu"
"harga CHINESE TEA?","Harga CHINESE TEA: Rp.39.000","harga_minuman_lainnya"
"harga AIR GURAKA?","Harga AIR GURAKA: Rp.31.000","harga_minuman_lainnya"
"harga MILO?","Harga MILO: Rp.27.000","harga_minuman_lainnya"
"harga KOPI HITAM?","Harga KOPI HITAM: Rp.30.000","harga_minuman_lainnya"
"harga KOPI SUSU?","Harga KOPI SUSU: Rp.32.000","harga_minuman_lainnya"
"harga KELAPA MUDA BATOK?","Harga KELAPA MUDA BATOK: Rp.32.000","harga_minuman_lainnya"
"harga KELAPA MUDA + LENGKENG?","Harga KELAPA MUDA + LENGKENG: Rp.35.000","harga_minuman_lainnya"
"harga BUAH SEGAR?","Harga BUAH SEGAR: Rp.57.000","harga_minuman_lainnya"
"harga MINERAL BOTTLE?","Harga MINERAL BOTTLE: Rp.7.500","harga_minuman_lainnya"

"apakah menu populer disini?","Menu Populer di Royal's Resto yaitu: KEPITING KENARI dan DENDENG RUSA","menu"
"apakah menu favorit disini?","Menu Favorit di Royal's Resto yaitu: IKAN BAKAR, IKAN BAKAR SAUS MANGGA, JUS DRAGON FRUIT dan ES TIGA RASA.","menu"
"apakah ada makanan vegetarian?","Tentu saja tersedia makanan vegetarian, makanan vegetarian yang tersedia yaitu: CAPCAI dan berbagai SUP.","menu"
"apakah ada makanan khusus untuk anak anak?","Tentu saja kami menyediakan makanan untuk anak-anak, makanan anak-anak yang tersedia yaitu: NASI GORENG, UDANG GORENG TEPUNG dan AYAM GORENG","menu"
"apakah ada makanan rendah kalori?","Kami menerima request khusus untuk makanan rendah kalori sesuai keinginan pelanggan.","menu"
"apakah ada makanan tanpa kacang?","Kami menerima request khusus untuk makanan tanpa kacang sesuai keinginan pelanggan.","menu"
"apakah ada minuman rendah gula?","Kami menerima request khusus untuk minuman rendah gula sesuai keinginan pelanggan.","menu"
"apakah ada makanan khas daerah","Tentu saja kami menyediakan makanan khas maluku yang bisa anda lihat di menu makanan lainnya.","menu"
"apakah menu bisa disesuaikan dengan request pelanggan?","Tentu saja kami menerima request sesuai keinginan pelanggan.","menu"
"apakah ada makanan tanpa micin atau msg?","Kami menerima request makanan tanpa micin/msg.","menu"
"menu apa yang dikhususkan untuk sarapan?","Menu untuk sarapan bisa mamu lihat pada menu makanan pembuka dan menu sup.","menu"
"menu apa yang dikhususkan untuk makan siang?","Seluruh menu kami cocok untuk makan siang, khususnya makanan berat.","menu"
"menu apa yang dikhususkan untuk makan malam?","Seluruh menu kami cocok untuk makan malam, khususnya menu sup dan menu kuah.","menu"
"apakah ada makanan dessert atau makanan penutup?","Makanan penutup yang tersedia yaitu menu sup dan salad buah.","menu"

"apakah ada promo?","Mohon maaf kami masih belum menyediakan promo.","promo"

"royal's resto buka jam berapa?","Kami buka dari jam 9 pagi sampai jam 12 malam.","jam_operasional"
"apakah buka setiap hari?","Ya, kami selalu buka setiap harinya kecuali lebaran.","jam_operasional"
"apakah buka saat libur nasional?","Ya, kami tetap buka kecuali lebaran.","jam_operasional"
"apakah buka saat bulan puasa?","Ya, kami buka pada bulan puasa dari jam 3 sore sampai jam 12 malam.","jam_operasional"
"apakah ada perbedaan jam buka saat weekday dan weekend?","Tidak ada perbedaan, jam buka tetap dari jam 9 pagi sampai jam 12 malam.","jam_operasional"
"apakah bisa reservasi di luar jam buka?","Untuk reservasi diluar jam buka, kami hanya menyediakan gedung saja dan tidak menyediakan makanan.","jam_operasional"

"apakah tersedia area parkir?","Tentu saja kami menyediakan area parkir yang bisa menampung 50an motor dan 30an mobil.","fasilitas"
"apakah ada toilet?","Tentu saja kami menyediakan toilet, ada 5 toilet yaitu 2 toilet cowok, 2 toilet cewek dan 1 toilet umum","fasilitas"
"apakah ada mushola?","Mohon maaf kami belum menyediakan mushola.","fasilitas"
"apakah ada ruangan vip?","Ya, kami menyediakan ruangan VIP tetapi hanya dikususkan untuk reservasi saja yang dapat menampung 70an orang.","fasilitas"
"apakah ada ruangan meeting?","Ya, kami menyediakan ruangan VIP untuk meeting tetapi harus melakukan reservasi terlebih dahulu.","fasilitas"
"apakah ada ruangan untuk merokok atau smoking area?","Ya, pelanggan dapat merokok di lobby yang tersedia tempat duduk.","fasilitas"
"apakah ada live music?","Ya, terdapat live music setiap harinya di jam 8 hingga 11 malam.","fasilitas"
"apakah ada wifi?","Ya, kami menyediakan wifi gratis untuk pelanggan.","fasilitas"
"apakah ada colokan listrik untuk cas hp atau laptop?","Ya, kami menyediakan colokan untuk cas hp atau laptop.","fasilitas"
"apakah ada tempat bermain anak anak?","Kami belum menyediakan tempat bermain untuk anak-anak.","fasilitas"
"apakah ada kursi untuk bayi?","Ya, kami menyediakan 2 kursi untuk bayi.","fasilitas"
"apakah ada fasilitas delivery?","Ya, kami menyediakan delivery, tetapi minimal 2 menu yang dipesan.","fasilitas"
"apakah menyediakan katering?","Ya, kami menerima katering.","fasilitas"

"dimana alamat royal's resto?","Alamat Royal's Resto di Jl. Branjangan, Kalumpang, Kec. Ternate Tengah, Kota Ternate, Maluku Utara.","alamat"
"apakah dekat dengan pusat kota?","Ya Royal's Resto terdapat di pusat kota Ternate.","alamat"
"apakah Royal's Resto terdapat cabang lain?","Kami belum memiliki cabang lain, Royal's Resto hanya terdapat di Ternate.","alamat"
"apakah royal's resto dekat dengan jalan utama?","Ya, Royal's Resto hanya berjarak 50 meter dari jalan utama.","alamat"
"apakah royal's resto terdapat di google maps?","Ya, Royal's Resto sudah ada di google maps.","alamat"
"apakah royal's resto mudah dijangkau dengan kendaraan umum?","Ya, Royal's Resto mudah dijangkau dengan kendaraan umum karena dekat dengan jalan umum.","alamat"
"apakah royal's resto dekat dengan hotel?","Ya, hotel terdekat dengan Royal's Resto yaitu hotel Emerald dan hotel Batik.","alamat"

"bagaimana cara reservasi di Royal's Resto?","anda bisa menghubungi nomor telepon kami.","reservasi"
"apa nomor telepon Royal's Resto?","anda dapat menghubungi nomer berikut: 0812-4258-1726.","reservasi"
"apakah bisa reservasi untuk rombongan?","Ya, kami menerima reservasi untuk rombongan atau banyak orang.","reservasi"
"apakah bisa reservasi untuk acara?","Ya, kami menerima reservasi untuk semua acara termasuk wedding","reservasi"
"apakah perlu dp untuk reservasi?","Ya, harus membayar DP terlebih dahulu.","reservasi"
"apakah bisa membatalkan reservasi?","Ya, bisa membatalkan reservasi tetapi harus H-1 (tidak boleh tiba-tiba).","reservasi"
"apakah ada biaya pembatalan reservasi?","Tidak ada biaya pembatalan, hanya uang DP yang tidak dikembalikan.","reservasi"
"apakah bisa mengganti hari reservasi?","Ya, bisa mengganti hari reservasi asalkan H-1 (tidak boleh tiba-tiba)","reservasi"
"apakah ada maksimal orang untuk reservasi?","Ya, maksimal orang untuk reservasi yaitu 100 orang.","reservasi"
"apakah bisa melakukan reservasi di hari yang sama?","Bisa asalkan ruangan sedang kosong.","reservasi"

"apakah bisa bayar tunai?","Ya, bisa bayar tunai.","pembayaran"
"apakah bisa bayar dengan kartu debit?","Ya, bisa bayar dengan kartu debit.","pembayaran"
"apakah bisa bayar dengan kartu kredit?","Ya, bisa bayar dengan kartu kredit.","pembayaran"
"apakah bisa bayar dengan qris?","Ya, bisa bayar dengan qris.","pembayaran"
"apakah bisa bayar dengan transfer bank?","Ya, bisa bayar dengan transfer bank.","pembayaran"
"apakah ada biaya tambahan untuk pembayaran non tunai?","Tidak ada biaya tambahan, semuanya sama.","pembayaran"

"","","menu"
"harga ?","Harga : Rp..000","harga"
